prompt,classname,classidx
a photo of a person.,person,0
a photo of a bicycle.,bicycle,1
a photo of a car.,car,2
a photo of a motorcycle.,motorcycle,3
a photo of a airplane.,airplane,4
a photo of a bus.,bus,5
a photo of a train.,train,6
a photo of a truck.,truck,7
a photo of a boat.,boat,8
a photo of a traffic light.,traffic light,9
a photo of a fire hydrant.,fire hydrant,10
a photo of a stop sign.,stop sign,11
a photo of a parking meter.,parking meter,12
a photo of a bench.,bench,13
a photo of a bird.,bird,14
a photo of a cat.,cat,15
a photo of a dog.,dog,16
a photo of a horse.,horse,17
a photo of a sheep.,sheep,18
a photo of a cow.,cow,19
a photo of a elephant.,elephant,20
a photo of a bear.,bear,21
a photo of a zebra.,zebra,22
a photo of a giraffe.,giraffe,23
a photo of a backpack.,backpack,24
a photo of a umbrella.,umbrella,25
a photo of a handbag.,handbag,26
a photo of a tie.,tie,27
a photo of a suitcase.,suitcase,28
a photo of a frisbee.,frisbee,29
a photo of a skis.,skis,30
a photo of a snowboard.,snowboard,31
a photo of a sports ball.,sports ball,32
a photo of a kite.,kite,33
a photo of a baseball bat.,baseball bat,34
a photo of a baseball glove.,baseball glove,35
a photo of a skateboard.,skateboard,36
a photo of a surfboard.,surfboard,37
a photo of a tennis racket.,tennis racket,38
a photo of a bottle.,bottle,39
a photo of a wine glass.,wine glass,40
a photo of a cup.,cup,41
a photo of a fork.,fork,42
a photo of a knife.,knife,43
a photo of a spoon.,spoon,44
a photo of a bowl.,bowl,45
a photo of a banana.,banana,46
a photo of a apple.,apple,47
a photo of a sandwich.,sandwich,48
a photo of a orange.,orange,49
a photo of a broccoli.,broccoli,50
a photo of a carrot.,carrot,51
a photo of a hot dog.,hot dog,52
a photo of a pizza.,pizza,53
a photo of a donut.,donut,54
a photo of a cake.,cake,55
a photo of a chair.,chair,56
a photo of a couch.,couch,57
a photo of a potted plant.,potted plant,58
a photo of a bed.,bed,59
a photo of a dining table.,dining table,60
a photo of a toilet.,toilet,61
a photo of a tv.,tv,62
a photo of a laptop.,laptop,63
a photo of a mouse.,mouse,64
a photo of a remote.,remote,65
a photo of a keyboard.,keyboard,66
a photo of a cell phone.,cell phone,67
a photo of a microwave.,microwave,68
a photo of a oven.,oven,69
a photo of a toaster.,toaster,70
a photo of a sink.,sink,71
a photo of a refrigerator.,refrigerator,72
a photo of a book.,book,73
a photo of a clock.,clock,74
a photo of a vase.,vase,75
a photo of a scissors.,scissors,76
a photo of a teddy bear.,teddy bear,77
a photo of a hair drier.,hair drier,78
a photo of a toothbrush.,toothbrush,79
