prompt,classname,classidx
a photo of a tiger shark.,tiger shark,3
a photo of a hammerhead shark.,hammerhead shark,4
a photo of a electric ray.,electric ray,5
a photo of a stingray.,stingray,6
a photo of a rooster.,rooster,7
a photo of a junco.,junco,13
a photo of a bald eagle.,bald eagle,22
a photo of a tailed frog.,tailed frog,32
a photo of a loggerhead sea turtle.,loggerhead sea turtle,33
a photo of a triceratops.,triceratops,51
a photo of a boa constrictor.,boa constrictor,61
a photo of a African rock python.,African rock python,62
a photo of a quail.,quail,85
a photo of a red-breasted merganser.,red-breasted merganser,98
a photo of a flatworm.,flatworm,110
a photo of a slug.,slug,114
a photo of a chiton.,chiton,116
a photo of a Dungeness crab.,Dungeness crab,118
a photo of a crayfish.,crayfish,124
a photo of a hermit crab.,hermit crab,125
a photo of a common redshank.,common redshank,141
a photo of a Afghan Hound.,Afghan Hound,160
a photo of a Beagle.,Beagle,162
a photo of a Italian Greyhound.,Italian Greyhound,171
a photo of a Yorkshire Terrier.,Yorkshire Terrier,187
a photo of a Tibetan Terrier.,Tibetan Terrier,200
a photo of a Australian Silky Terrier.,Australian Silky Terrier,201
a photo of a Soft-coated Wheaten Terrier.,Soft-coated Wheaten Terrier,202
a photo of a Bouvier des Flandres dog.,Bouvier des Flandres dog,233
a photo of a Greater Swiss Mountain Dog.,Greater Swiss Mountain Dog,238
a photo of a Appenzeller Sennenhund.,Appenzeller Sennenhund,240
a photo of a Bullmastiff.,Bullmastiff,243
a photo of a Samoyed.,Samoyed,258
a photo of a Siamese cat.,Siamese cat,284
a photo of a leaf beetle.,leaf beetle,304
a photo of a cottontail rabbit.,cottontail rabbit,330
a photo of a llama.,llama,355
a photo of a siamang.,siamang,369
a photo of a black-and-white colobus.,black-and-white colobus,375
a photo of a proboscis monkey.,proboscis monkey,376
a photo of a indri.,indri,384
a photo of a sturgeon.,sturgeon,394
a photo of a aircraft carrier.,aircraft carrier,403
a photo of a airship.,airship,405
a photo of a amphibious vehicle.,amphibious vehicle,408
a photo of a bakery.,bakery,415
a photo of a banjo.,banjo,420
a photo of a barbell.,barbell,422
a photo of a bathtub.,bathtub,435
a photo of a bell tower.,bell tower,442
a photo of a bolo tie.,bolo tie,451
a photo of a hunting bow.,hunting bow,456
a photo of a bra.,bra,459
a photo of a butcher shop.,butcher shop,467
a photo of a taxicab.,taxicab,468
a photo of a car mirror.,car mirror,475
a photo of a tool kit.,tool kit,477
a photo of a cassette player.,cassette player,482
a photo of a cradle.,cradle,516
a photo of a construction crane.,construction crane,517
a photo of a doormat.,doormat,539
a photo of a go-kart.,go-kart,573
a photo of a gondola.,gondola,576
a photo of a gown.,gown,578
a photo of a hair spray.,hair spray,585
a photo of a combine harvester.,combine harvester,595
a photo of a jigsaw puzzle.,jigsaw puzzle,611
a photo of a lab coat.,lab coat,617
a photo of a lens cap.,lens cap,622
a photo of a letter opener.,letter opener,623
a photo of a lotion.,lotion,631
a photo of a measuring cup.,measuring cup,647
a photo of a mosque.,mosque,668
a photo of a moving van.,moving van,675
a photo of a parachute.,parachute,701
a photo of a patio.,patio,706
a photo of a plunger.,plunger,731
a photo of a Polaroid camera.,Polaroid camera,732
a photo of a plant pot.,plant pot,738
a photo of a quilt.,quilt,750
a photo of a safe.,safe,771
a photo of a shopping cart.,shopping cart,791
a photo of a shower cap.,shower cap,793
a photo of a swing.,swing,843
a photo of a table lamp.,table lamp,846
a photo of a television.,television,851
a photo of a tobacco shop.,tobacco shop,860
a photo of a toy store.,toy store,865
a photo of a trombone.,trombone,875
a photo of a vase.,vase,883
a photo of a volleyball.,volleyball,890
a photo of a wallet.,wallet,893
a photo of a sink.,sink,896
a photo of a water bottle.,water bottle,898
a photo of a crossword.,crossword,918
a photo of a guacamole.,guacamole,924
a photo of a hot pot.,hot pot,926
a photo of a mountain.,mountain,970
a photo of a lakeshore.,lakeshore,975
a photo of a corn.,corn,987
